Function name (including params),Section,Is it on PostGIS function,Note,Support level,PostGIS Gaps,Can we support it,In Plain English,ID
geometry (TYPE),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,"Composite type `(lon double precision[], lat double precision[])`. A point is a single-element array. A polygon is 3+ vertices. No explicit closing required.",Partial,"PostGIS geometry supports 2D/3D/4D (Z/M), MultiPoint/MultiLineString/MultiPolygon/GeometryCollection, polygons with holes (inner rings), embedded SRID. YB: 2D only, single simple polygon, no holes, no SRID field.",,The fundamental 2D flat-map shape. Stored as two arrays of numbers (X and Y).,1
"ST_MakePoint(p_lon double precision, p_lat double precision)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a single-point geometry.,Supported in 2D,"PostGIS geometry supports 3D/4D coordinates (Z/M). YB: 2D only, no capacity for Z/M in the underlying arrays.",,Draw a dot at this exact coordinate.,2
"ST_MakePolygon(p_lon double precision[], p_lat double precision[])",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a polygon from parallel vertex arrays.,Partial,"PostGIS accepts shell + optional array of hole LineStrings, supports 3D/M. YB: no holes (inner rings) support, 2D only.",,Draw a shape using this list of connected coordinates.,3
"ST_MakeEnvelope(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a rectangle geometry from bounding box corners.,Partial,"PostGIS supports 3D bounding boxes and tracks SRID status. YB: 2D only, no SRID field.","Possible, by building a C-extension geometry type. A proper GSERIALIZED struct supports Z/M dimensions and embeds the SRID metadata.",Draw a rectangle using these minimum and maximum coordinates.,4
"ST_MakeEnvelope(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a rectangle geometry from bounding box corners.,Shim,"Accepts the SRID parameter but silently ignores it, delegating to the 2D-only 4-arg version.","Possible, by building a C-extension geometry type. The C constructor will write the provided SRID integer directly into the geometry header byte 5-8 of the GSERIALIZED header.",Draw a rectangle using these minimum and maximum coordinates.,5
PostGIS_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns `'2.1 USE_GEOS=0'`. GeoServer version detection stub.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,6
PostGIS_Lib_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns `'2.1.8'`. GeoServer version detection stub.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,7
PostGIS_Full_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns a full version string noting YugabyteDB PL/pgSQL shim.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,8
PostGIS_GEOS_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns NULL. GEOS is not available.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,9
ST_SRID(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Always returns 4326.,Stub,,,"What coordinate system (e.g., GPS WGS84) is this shape using?",10
"ST_SetSRID(p_geom geometry, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns the geometry unchanged.,Stub,,,Change the metadata tag to say this shape uses a different coordinate system.,11
"ST_Transform(p_geom geometry, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns the geometry unchanged. In real PostGIS this reprojects coordinates.,Stub,,,"Reproject these coordinates from one system (e.g., GPS) to another (e.g., Web Mercator).",12
ST_AsBinary(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,"Encodes geometry to OGC Well-Known Binary (little-endian). Handles POINT, LINESTRING, POLYGON, and empty geometries. 

So basically transfer YB language to Geoserver language",Partial,"PostGIS encodes all OGC types (Multi*, GeometryCollection, 3D). YB: Point/LineString/Polygon only, no multi-geometry, no 3D.",,Convert this shape into raw bytes (WKB) for software like GeoServer to read.,13
lm__float8_to_le_bytea(val double precision),Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),"Converts a 64-bit float to 8 little-endian bytes. Uses `float8send()` then reverses byte order.

C0 5B F8 FC 7A E1 47 AE -> AE 47 E1 7A FC F8 5B C0",Internal Helper,,,Converts a decimal number into raw bytes so GeoServer can read it.,14
lm__int32_to_le_bytea(val integer),Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),Converts a 32-bit integer to 4 little-endian bytes via bit shifting.,Internal Helper,,,Converts a whole number into raw bytes so GeoServer can read it.,15
"geometry_overlaps_bbox(a geometry, b geometry)",Section 1: CreateGeometryType.sql - Define the geometry type,No (operator backing fn),Backing function for the `&&` operator. Tests AABB (Axis-Aligned Bounding Box) overlap.,Internal Helper,,,Checks if the rectangular boundaries of two shapes overlap.,16
"&& (OPERATOR: geometry, geometry)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Bounding-box overlap. Returns true if AABBs intersect.,Supported,but slower because of the index structure,,Do the rectangular bounding boxes of these two shapes overlap?,17
"lm__st_extent_transfn(state geometry, val geometry)",Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),"Transition function for `ST_Extent` aggregate. Expands bounding box. Input a box and a dot, return a same or bigger box (this is just growing a box)",Internal Helper,,,Helper that expands a bounding box to include a new shape.,18
ST_Extent(geometry) (AGGREGATE),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Computes a single bounding box that encloses all input geometries. (uses the lm__st_extent_transfn above),Supported,,,Draw one giant bounding box that encloses every single shape in this entire database table.,19
ST_AsEWKB(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Extended WKB. Same as `ST_AsBinary` but embeds SRID 4326 into the byte header. TBD,Partial,"PostGIS encodes all OGC types including curves, 3D, polyhedral surfaces. YB: Point/LineString/Polygon only, no multi-geometry, no 3D.",,"Convert this shape into raw bytes, and include the SRID tag.",20
ST_Force2D(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Identity. Always 2D. (stub),Stub,,,Throw away the altitude (Z) and measure (M) data to make the shape perfectly flat.,21
ST_Force_2D(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Identity. Always 2D. (stub),Stub,,,Throw away the altitude (Z) and measure (M) data to make the shape perfectly flat.,22
ST_NDims(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Always returns 2. (stub),Stub,,,"Does this shape have 2, 3, or 4 dimensions?",23
"ST_GeomFromText(p_wkt text, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,2-arg version. SRID accepted but ignored. Delegates to 1-arg version (defined later in Tier 2).,Shim,,,"Read a text string like ""POINT(-111 40)"" and turn it into a database shape.",24
"ST_GeomFromWKB(p_wkb bytea, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,"Decodes OGC WKB binary back to geometry. Handles POINT, LINESTRING, POLYGON. Skips SRID bytes if present.",Partial,"PostGIS decodes all WKB types (Multi*, GeometryCollection, curves, 3D). YB: Point/LineString/Polygon only, first ring only for polygons.",,Read raw bytes from other software and turn them into a database shape.,25
ST_GeomFromWKB(p_wkb bytea),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,"Decodes OGC WKB binary back to geometry. Handles POINT, LINESTRING, POLYGON.",Partial,"PostGIS decodes all WKB types (Multi*, GeometryCollection, curves, 3D). YB: Point/LineString/Polygon only, first ring only for polygons.",,Read raw bytes from other software and turn them into a database shape.,26
"lm__le_bytea_to_float8(p_wkb bytea, p_offset integer)",Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),Reads 8 little-endian bytes from a bytea at the given offset and returns a float8. Reverses bytes then calls `float8recv()`. reverse a WKB and make it float,Internal Helper,,,Reads raw bytes from GeoServer and turns them back into a decimal number.,27
"lm__le_bytea_to_int32(p_wkb bytea, p_offset integer)",Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),Reads 4 little-endian bytes and returns an integer. So basically covert geoserver format to human readable,Internal Helper,,,Reads raw bytes from GeoServer and turns them back into a whole number.,28
"ST_MakePoint(p_lon double precision, p_lat double precision, p_z double precision)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,3-arg version. Z is discarded (always 2D). (stub),Stub,,,Draw a dot at this exact coordinate.,29
"ST_EstimatedExtent(p_schema text, p_table text, p_column text)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Computes a single bounding box that encloses all input geometries.,shim,,,Quickly guess the giant bounding box for this entire table without scanning every row.,30
"ST_Estimated_Extent(p_schema text, p_table text, p_column text)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Computes a single bounding box that encloses all input geometries. (same thing) Legacy alias (extra underscore) for PostGIS < 2.1 clients.,Shim,,,Quickly guess the giant bounding box for this entire table without scanning every row.,31
"ST_SimplifyPreserveTopology(p_geom geometry, p_tolerance double precision)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Shim. Delegates to `ST_Simplify` (true topology preservation requires GEOS).,Shim,,,Make this shape smaller without accidentally making lines cross each other.,32
"geometry_distance(a geometry, b geometry)",Section 1: CreateGeometryType.sql - Define the geometry type,No (operator backing fn),"Given two geometries, it returns one number. Backing function for `<->`.",Internal Helper,,,Calculates the distance between the center points of two shapes.,33
"<-> (OPERATOR: geometry, geometry)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Centroid-to-centroid distance. Used by GeoServer for ORDER BY geom <-> point KNN sorting.,"Supported, but slow","PostGIS calculates true shortest distance between the actual borders of complex shapes and uses GiST indexes for O(1) KNN searches. YB: calculates distance between centroids only, and forces O(N) full table scans.",we need C library; and R tree for KNN performance,"Find the shortest distance between these two shapes (used for finding the ""nearest"" things).",34
box2d (TYPE),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,"Bounding box type `(xmin, ymin, xmax, ymax)`.",Supported,,,A simple 2D bounding box (a rectangle defined by its bottom-left and top-right corners).,35
lm__geometry_to_box2d(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),Takes geometry and make it bounding box,Internal Helper,,,Draws a rectangular bounding box around a flat shape.,36
lm__box2d_to_geometry(p_box box2d),Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),Takes bounding box make it geometry,Internal Helper,,,Turns a rectangular bounding box back into a standard shape.,37
CAST (geometry AS box2d),Section 1: CreateGeometryType.sql - Define the geometry type,No (YB infrastructure),Implicit cast between types,NA,,,"Convert data from one format to another (e.g., Geometry to Geography).",38
CAST (box2d AS geometry),Section 1: CreateGeometryType.sql - Define the geometry type,No (YB infrastructure),Implicit cast between types,NA,,,"Convert data from one format to another (e.g., Geometry to Geography).",39
"box2d_distance(a box2d, b box2d)",Section 1: CreateGeometryType.sql - Define the geometry type,No (operator backing fn),Minimum distance between two bounding boxes. Zero if they overlap.,Internal Helper,,,Calculates the shortest distance between two rectangular bounding boxes.,40
"<-> (OPERATOR: box2d, box2d)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Minimum bbox distance. Uses box2d_distance.,"Supported, but slow","PostGIS calculates true shortest distance between the actual borders of complex shapes and uses GiST indexes for O(1) KNN searches. YB: calculates distance between centroids only, and forces O(N) full table scans.","without R Tree, we need to do a full table scan and filter things out","Find the shortest distance between these two shapes (used for finding the ""nearest"" things).",41
lm__twkb_uvarint(val bigint),Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),"Encodes an unsigned integer as a protobuf-style variable-length integer.

lm__twkb_uvarint(5)     →  '\x05'::bytea          (1 byte)
lm__twkb_uvarint(300)   →  '\xac02'::bytea        (2 bytes)",Internal Helper,,,Compresses a positive number into a tiny byte format for fast map rendering.,42
lm__twkb_svarint(val bigint),Section 1: CreateGeometryType.sql - Define the geometry type,No (internal helper),"Zigzag-encodes a signed integer, then varint-encodes it. 


lm__twkb_svarint(1)     →  '\x02'::bytea          (1 byte)   -- zigzag: 1→2, then varint
lm__twkb_svarint(-1)    →  '\x01'::bytea          (1 byte)   -- zigzag: -1→1, then varint
lm__twkb_svarint(-50)   →  '\x63'::bytea          (1 byte)   -- zigzag: -50→99, then varint",Internal Helper,,,Compresses a positive or negative number into a tiny byte format.,43
"ST_AsTWKB(p_geom geometry, p_prec integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Tiny WKB. Delta-compressed coordinates with protobuf-style varint encoding. Much smaller than WKB.,Partial,"PostGIS encodes all OGC types with precision control and bbox/size/idlist options. YB: Point/LineString/Polygon only, no multi-geometry, no bbox/size/idlist metadata.",,Compress this shape into tiny raw bytes (TWKB) for extremely fast map rendering.,44
geography (TYPE),Section 3: CreateGeographyType.sql - Define the geography type,Yes,Identical structure to `geometry`. Signals that distance functions should return meters instead of degrees.,Partial,"PostGIS geography supports 2D/3D/4D (Z/M), MultiPoint/MultiLineString/MultiPolygon/GeometryCollection, polygons with holes, embedded SRID. YB: 2D only, single simple polygon, no holes, no SRID field.",,The round-Earth shape. Tells functions to use curved math.,45
lm__geometry_to_geography(p_geom geometry),Section 3: CreateGeographyType.sql - Define the geography type,No (internal helper),Internal helper function,Internal Helper,,,Takes a flat shape and tags it so the database treats it as a round-Earth shape.,46
lm__geography_to_geometry(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,No (internal helper),Internal helper function,Internal Helper,,,Takes a round-Earth shape and strips its tag so it is treated as a flat shape.,47
CAST (geometry AS geography),Section 3: CreateGeographyType.sql - Define the geography type,No (YB infrastructure),Implicit cast between types,NA,,,"Convert data from one format to another (e.g., Geometry to Geography).",48
CAST (geography AS geometry),Section 3: CreateGeographyType.sql - Define the geography type,No (YB infrastructure),Implicit cast between types,NA,,,"Convert data from one format to another (e.g., Geometry to Geography).",49
"ST_MakePoint_Geog(p_lon double precision, p_lat double precision)",Section 3: CreateGeographyType.sql - Define the geography type,No (YB custom),Geography constructors.,N/A (YB Custom),,,Draw a dot at this exact coordinate on the globe.,50
"ST_MakePolygon_Geog(p_lon double precision[], p_lat double precision[])",Section 3: CreateGeographyType.sql - Define the geography type,No (YB custom),Geography constructors.,N/A (YB Custom),,,Draw a shape using this list of connected coordinates on the globe.,51
"ST_MakeEnvelope_Geog(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision)",Section 3: CreateGeographyType.sql - Define the geography type,No (YB custom),Geography constructors.,N/A (YB Custom),,,Draw a rectangle using these minimum and maximum coordinates on the globe.,52
ST_SRID(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,Always returns 4326.,Stub,,,"What coordinate system (e.g., GPS WGS84) is this shape using?",53
"ST_SetSRID(p_geog geography, p_srid integer)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Returns the geometry unchanged.,Stub,,,Change the metadata tag to say this shape uses a different coordinate system.,54
"lm__haversine_distance(p_lon1 double precision, p_lat1 double precision, p_lon2 double precision, p_lat2 double precision)",Section 3: CreateGeographyType.sql - Define the geography type,No (internal helper),"Great-circle distance in meters on a perfect sphere (R = 6,371,000 m). Basically get the curved distance on earth from 2 points.",Internal Helper,,,Calculates the shortest distance between two points over a perfectly round Earth.,55
"lm__vincenty_distance(p_lon1 double precision, p_lat1 double precision, p_lon2 double precision, p_lat2 double precision)",Section 3: CreateGeographyType.sql - Define the geography type,No (internal helper),Geodesic distance in meters on the WGS84 ellipsoid. Iterative Vincenty formula. Sub-millimeter accuracy. Falls back to Haversine for near-antipodal points.,Internal Helper,,,"Calculates the highly exact, surveyor-grade distance between two points on the Earth.",56
"ST_Distance(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Haversine great-circle distance in meters. Same thing as above but different type,Partial,"PostGIS geography ST_Distance handles all geometry types (polygon-to-polygon, line-to-polygon, etc.) using geodesic calculation on spheroid (GeographicLib). YB: point-to-point only, Haversine on sphere (2-arg) or Vincenty on ellipsoid (3-arg).

it picks only the first entry of the shape and calculate the point only",,What is the shortest straight-line distance between shape A and shape B?,57
"ST_Distance(p_a geography, p_b geography, p_use_spheroid boolean)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Haversine great-circle distance in meters. Same thing as above but different type,Partial,"PostGIS geography ST_Distance handles all geometry types (polygon-to-polygon, line-to-polygon, etc.) using geodesic calculation on spheroid (GeographicLib). YB: point-to-point only, Haversine on sphere (2-arg) or Vincenty on ellipsoid (3-arg).

it picks only the first entry of the shape and calculate the point only",,What is the shortest straight-line distance between shape A and shape B?,58
"ST_DWithin(p_a geography, p_b geography, p_distance double precision)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Within-distance test in meters. Haversine or Vincenty. Basically same thing but try to see if the distance from 2 points is smaller than params,Partial,"PostGIS geography ST_DWithin handles all geometry types with spatial index support; uses spheroid by default. YB: point-to-point only.

it picks only the first entry of the shape and calculate the point only",,Are these two shapes within X miles of each other?,59
"ST_DWithin(p_a geography, p_b geography, p_distance double precision, p_use_spheroid boolean)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Within-distance test in meters. Haversine or Vincenty (get distance from 2 geo, Vincently is more accruate). Basically same thing but try to see if the distance from 2 points is smaller than params",Partial,"PostGIS geography ST_DWithin handles all geometry types with spatial index support; uses spheroid by default. YB: point-to-point only.

it picks only the first entry of the shape and calculate the point only",,Are these two shapes within X miles of each other?,60
"ST_DistanceSphere(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Haversine / Vincenty distance in meters.,Partial,"PostGIS supports all geometry types (since 1.5), not just points. YB: point-to-point only.",,What is the shortest distance between A and B curving along the Earth?,61
"ST_DistanceSpheroid(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Haversine / Vincenty distance in meters.,Partial,"PostGIS supports all geometry types (since 1.5), not just points. YB: point-to-point only.",,What is the exact surveyor-grade distance between A and B on the Earth?,62
"ST_DistanceSpheroid(p_a geometry, p_b geometry)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Haversine / Vincenty distance in meters.,Partial,"PostGIS supports all geometry types (since 1.5), not just points. YB: point-to-point only.",,What is the exact surveyor-grade distance between A and B on the Earth?,63
ST_Length(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"""How long is this line?""",Partial,"PostGIS geography ST_Length uses inverse geodesic on spheroid (GeographicLib); has use_spheroid param. YB: Haversine segment sums on sphere, no use_spheroid param.",,"If I walked from the start of this line to the end, how far is it?",64
ST_Perimeter(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"""How long is the border of this polygon?""",Partial,"PostGIS geography ST_Perimeter uses inverse geodesic on spheroid (GeographicLib); has use_spheroid param. YB: Haversine segment sums on sphere, no use_spheroid param.",Possible with C + library,How long is the outer fence around this shape?,65
ST_Area(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"""How big is this polygon?"" via L'Huilier's theorem (square meters).",Partial,"PostGIS geography ST_Area uses spheroidal calculation via GeographicLib; has use_spheroid param. YB: L'Huilier's theorem on sphere (R=6371km), no use_spheroid param.",Possible with C + library,How big is the inside of this shape?,66
"ST_Intersects(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Delegate to geometry versions after casting.,Shim,"PostGIS performs exact spherical intersection math. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.",,"Do these two shapes touch, cross, or overlap each other in any way?",67
"ST_Contains(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Delegate to geometry versions after casting.,Shim,"PostGIS performs exact spherical containment math. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.",,Is shape B completely swallowed up inside shape A?,68
"ST_Within(p_a geography, p_b geography)",Section 3: CreateGeographyType.sql - Define the geography type,Yes,Delegate to geometry versions after casting.,Shim,"PostGIS performs exact spherical containment math. YB: casts to geometry and uses flat 2D math, which is inaccurate for large geographic areas.",,Is shape A completely swallowed up inside shape B?,69
ST_Envelope(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Delegate to geometry, return geography.",Shim,PostGIS computes the bounding box on the sphere. YB: casts to geometry and computes a flat 2D bounding box.,,Give me the rectangular bounding box for this specific shape.,70
ST_Centroid(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Delegate to geometry, return geography.",Shim,"PostGIS computes the true center of mass on the sphere. YB: casts to geometry and computes a flat 2D centroid, which is inaccurate for large shapes.",,Where is the exact center of gravity (the dead middle) of this shape?,71
ST_X(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Geography accessors. Return X, Y, how many vertices, and isEmpty.",partial,PostGIS throws an error if input is not a Point. YB: ignores shape type and blindly returns the first coordinate in the array.,"Possible, by building a C-extension geography type. A GSERIALIZED type includes a header byte identifying the shape, allowing strict type validation before execution.",Get the Longitude (East/West) coordinate of this point.,72
ST_Y(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Geography accessors. Return X, Y, how many vertices, and isEmpty.",partial,PostGIS throws an error if input is not a Point. YB: ignores shape type and blindly returns the first coordinate in the array.,"Possible, by building a C-extension geography type. A GSERIALIZED type includes a header byte identifying the shape, allowing strict type validation before execution.",Get the Latitude (North/South) coordinate of this point.,73
ST_NPoints(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Geography accessors. Return X, Y, how many vertices, and isEmpty.",partial,"PostGIS correctly counts all vertices across complex shapes (e.g., a MultiPolygon with 5 islands). YB: can only count the single array provided.","Possible, by building a C-extension geography type. A proper struct explicitly tracks the number of points across all parts (rings, sub-geometries) of a complex shape.",How many total coordinates make up this shape?,74
ST_IsEmpty(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,"Geography accessors. Return X, Y, how many vertices, and isEmpty.",partial,"PostGIS explicitly flags an empty geometry in the GSERIALIZED header (differentiating an empty Point from an empty Polygon). YB: checks if array length is 0, so all empty shapes are indistinguishable.","Possible, by building a C-extension geography type. A proper struct explicitly flags emptiness in the metadata header while preserving the shape's original identity.",Does this shape have zero coordinates?,75
ST_AsText(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,Geography output — delegate to geometry versions.,Shim,,,"Convert this shape into readable text, like ""POINT(-111 40)"".",76
ST_AsGeoJSON(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,Geography output — delegate to geometry versions.,Shim,,,Convert this shape into JSON format for web maps.,77
ST_AsBinary(p_geog geography),Section 3: CreateGeographyType.sql - Define the geography type,Yes,Geography output — delegate to geometry versions.,Shim,,,Convert this shape into raw bytes (WKB) for software like GeoServer to read.,78
